3D FilaPrint - Cardboard - 210g,210,,
3D FilaPrint - Plastic - 238g,238,,
3D Fuel - Plastic - 264g,264,,
3D Power - Plastic - 220g,220,,
3D Solutech - Plastic - 173g,173,,
3DE - Cardboard - 136g,136,,
3DE - Plastic - 181g,181,,
3DE Premium PLA (Cardboard Spool) - 136g,136,,
3DE Premium PLA (Plastic Spool) - 181g,181,,
3DHOJOR - Cardboard - 157g,157,,
3DJake - Cardboard - 209g,209,,
3DJake - Plastic - 232g,232,,
3DJake 250g - Plastic - 91g,91,,
3DJake ASA Black 2300g - 604g,604,,
3DJake ecoPLA - Plastic - 210g,210,,
3DJake ecoPLA spool - 234g,234,,
3DJake rPLA Cardboard spool - 209g,209,,
3DXTech - Plastic - 258g,258,,
3DXTECH ASA - 258g,258,,
Acccreate - Plastic - 161g,161,Acccreate - Plastic - 201g,201
AIO Robotics 250g - Plastic - 120g,120,,
Alfawise - Plastic - 152g,152,Alfawise - Plastic - 196g,196
Amazon Basic PLA - 234g,234,,
Amazon Basics - Plastic - 190g,190,Amazon Basics - Plastic - 234g,234
American Filament - Plastic - 310g,310,,
Amolen - Plastic - 150g,150,Amolen - Plastic - 190g,190
Amolen 800g - Plastic - 59g,59,,
AMZ3D - Plastic - 233g,233,,
Anycubic - Cardboard - 125g,125,,
Anycubic - Plastic - 127g,127,,
Atomic Filament - Plastic - 272g,272,Atomic Filament - Plastic - 323g,323
Atomic Filaments Rose Gold PLA - 318g,318,,
Aurapol PLA - 220g,220,,
Aurarum - Plastic (Clear) - 215g,215,,
Azure Film - Plastic (Clear) - 163g,163,,
Bambu Lab Plastic High Temp Grey - 216g,216,,
Bambu Lab Plastic Low Temp Clear - 250g,250,,
Bambu Lab Plastic Low Temp Light Grey - 208g,208,,
Bambu Lab Plastic White - 253g,253,,
BQ - Plastic (Clear) - 218g,218,,
bq PLA - 218g,218,,
CC3D PETG - 162g,162,,
Coex3D - Cardboard - 190g,190,,
Colorfabb - Plastic - 236g,236,,
Colorfabb 2.2kg - Plastic - 600g,600,,
Colorfabb 4.5kg - Plastic - 700g,700,,
Colorfabb 750g - Cardboard - 152g,152,,
Colorfabb 750g - Plastic - 254g,254,,
Colorfabb 8kg - Plastic - 1050g,1050,,
colorFabb nGen - 604g,604,,
Comgrow - Cardboard - 166g,166,,
Creality - Cardboard - 180g,180,,
Creality - Plastic (Black) - 135g,135,Creality - Plastic (Black) - 185g,185
Creality - Plastic (Clear) - 140g,140,Creality - Plastic (Clear) - 162g,162
Creality 3D PLA White - 135g,135,,
Das Filament - Plastic - 211g,211,,
DasFilament PLA - 211g,211,,
Devil Designs - Plastic - 256g,256,,
DoWell3D - Plastic - 182g,182,,
Duramic 3D - Cardboard - 136g,136,,
EcoLine - Plastic - 283g,283,,
Eibos - Plastic (Clear) - 184g,184,,
Elegoo - Cardboard - 153g,153,Elegoo - Cardboard - 171g,171
Elegoo - Plastic - 111g,111,,
Elegoo PLA - 160g,160,,
Ender - Plastic - 88g,88,,
Eryone - Cardboard - 156g,156,Eryone - Cardboard - 188g,188
Eryone - Plastic - 187g,187,Eryone - Plastic - 267g,267
Eryone 250g - Cardboard - 86g,86,,
Essentium - Plastic - 225g,225,,
Essentium 10kg spool - 1385g,1385,,
Essentium 2.5kg - Plastic - 918g,918,,
Essentium 200g spool - 128g,128,,
Essentium 4kg - Plastic - 920g,920,,
Essentium 5kg spool - 1146g,1146,,
Essentium 750g - Plastic - 365g,365,,
eSUN - Cardboard - 147g,147,eSUN - Cardboard - 175g,175
eSUN - Plastic (Black) - 240g,240,eSUN - Plastic (Black) - 265g,265
eSUN - Plastic (Clear) - 209g,209,eSUN - Plastic (Clear) - 224g,224
eSUN 2.5kg - Plastic - 634g,634,,
eSUN 500g - Plastic (Black) - 212g,212,,
eSUN 500g - Plastic (Clear) - 203g,203,,
Extrudr - Plastic - 244g,244,,
F3D 200g - Plastic - 130g,130,,
FCC 750g - Plastic - 206g,206,,
Fiberlogy - Plastic (ABS) - 260g,260,,
Fiberlogy - Plastic (Donut Style) - 322g,322,,
Fiberlogy ASA - 292g,292,,
fiberlogy rounded spool (old) easy pla - 325g,325,,
Filament PM - Plastic - 224g,224,,
Filament PM 2kg - Plastic - 599g,599,,
Filament PM 500g - Plastic - 208g,208,,
Filament PM 750g - Plastic - 226g,226,,
Filament PM ASA - 226g,226,,
Filanora - Plastic - 178g,178,,
Fillamentum - Plastic - 230g,230,,
Fillamentum 750g - Plastic - 235g,235,,
Fillamentum CPE HG100 - 235g,235,,
Flashforge - Plastic - 167g,167,,
FormFutura - Cardboard - 155g,155,,
FormFutura 750g - Plastic - 212g,212,,
Formfutura EasyFil PLA - 212g,212,,
FormFutura ReForm - rPLA (Cardboard Spool) - 160g,160,,
Fusion Filaments - Plastic - 162g,162,Fusion Filaments - Plastic - 308g,308
Fusion Filaments Plutonic Purple ABS 2.0 - 308g,308,,
Geeetech - Plastic - 178g,178,Geeetech - Plastic - 195g,195
Gembird - Cardboard - 143g,143,,
GIANTARM - Plastic - 181g,181,,
GNVTNTP - Cardboard - 156g,156,,
GratKit - Cardboard - 155g,155,,
Greeny+ 2.5kg - Cardboard - 372g,372,,
GST3D - Plastic - 200g,200,GST3D - Plastic - 212g,212
Hatchbox - Plastic - 225g,225,Hatchbox - Plastic - 244g,244
Honeycomb Drone - Plastic - 183g,183,,
ICE Filaments PLA - 206g,206,,
IIID MAX - Plastic - 212g,212,,
Inland (Micro Center) - Cardboard - 142g,142,,
Inland (Micro Center) - Cardbord (Made in Vietnam) - 225g,225,,
Inland (Micro Center) - Plastic (Black) - 210g,210,Inland (Micro Center) - Plastic (Black) - 224g,224
Inland (Micro Center) - Plastic (Clear) - 215g,215,,
Innofil 3D 750g - Plastic - 215g,215,,
Jayo - Cardboard - 120g,120,Jayo - Cardboard - 135g,135
Jayo - Plastic - 126g,126,,
Jayo 250g - Plastic - 58g,58,,
Jessie (Printed Solid) - Cardboard - 183g,183,Jessie (Printed Solid) - Cardboard - 276g,276
Jessie (Printed Solid) - Plastic - 297g,297,Jessie (Printed Solid) - Plastic - 343g,343
Kexcelled - Cardboard - 204g,204,,
Kexcelled 1kg - Plastic - 240g,240,,
Kingroon - Cardboard - 155g,155,,
Kingroon - Plastic - 156g,156,Kingroon - Plastic - 175g,175
Kingroon PLA - 135g,135,,
Kiwi 3D - Plastic - 194g,194,,
Kiwi3D PLA Like-Marble - 194g,194,,
KVP - Plastic (Black) - 337g,337,,
KVP - Plastic (Clear) - 263g,263,,
KVP Koil Spool - 263g,263,,
KVP Stellar Black ABS - 337g,337,,
MadeSolid - Plastic - 345g,345,,
Matter Hackers (Build Series) - Plastic - 215g,215,,
Matter Hackers (Quantum Series) - Plastic - 217g,217,,
MG Chemicals - Cardboard - 150g,150,,
MG Chemicals - Plastic - 239g,239,MG Chemicals - Plastic - 250g,250
MG Chemicals 200g - Plastic - 136g,136,,
Mika3D - Plastic - 175g,175,,
Mika3D 250g - Plastic - 61g,61,,
Mika3D 500g - Plastic - 110g,110,,
MonoPrice - Plastic - 221g,221,,
NinjaFlex 500g - Plastic - 329g,329,,
Nova3D - Cardboard Core Only - 38g,38,,
Nova3D - Plastic w/ Cardboard Core - 159g,159,,
Numakers - Plastic - 198g,198,,
NuNus 3D - Plastic - 195g,195,,
Octave - Plastic - 168g,168,,
Overture - Cardboard - 150g,150,Overture - Cardboard - 174g,174
Overture - Plastic - 237g,237,,
Overture Matte PLA - 162g,162,,
Overture PLA - 171g,171,,
OVV3D - Cardboard - 130g,130,,
OVV3D 200g - Cardboard - 76g,76,,
OWL - Plastic - 175g,175,OWL - Plastic - 230g,230
PETG Prusa Galaxy Black - 193g,193,,
Plexiwire 300g - Cardboard - 91g,91,,
PolyMaker - Cardboard - 137g,137,PolyMaker - Cardboard - 149g,149
PolyMaker - Plastic - 220g,220,PolyMaker - Plastic - 245g,245
PolyMaker 3kg - Cardboard - 418g,418,PolyMaker 3kg - Cardboard - 462g,462
Polymaker PolyTerra PLA - 139g,139,,
Polymaker PolyTerra PLA (Cardboard Spool) - 147g,147,,
PrimaSelect - Plastic - 222g,222,,
Print Bed - Cardboard - 217g,217,,
PrintBed PLA - 217g,217,,
ProtoPasta - Cardboard - 80g,80,,
ProtoPasta 500g - Cardboard - 84g,84,,
Protopasta Matte Fiber HTPLA - 84g,84,,
Prusa Prusament PETG - 205g,205,,
Prusament - Plastic - 201g,201,,
Prusament - Plastic w/ Cardboard Core - 196g,196,,
Prusament 2kg - Plastic w/ Cardboard Core - 209g,209,,
Raised 3D - Plastic - 246g,246,,
RatRig - Plastic - 220g,220,,
Reprapper - Plastic - 157g,157,,
Rosa3D - Plastic - 245g,245,,
Sainsmart 800g - Plastic (Black) - 173g,173,,
Sainsmart 800g - Plastic (White) - 153g,153,,
Sakata3D - Plastic (Clear) - 253g,253,,
Sakata3D - Plastic (Grey) - 205g,205,,
Siddament - Cardboard - 125g,125,,
SmartMaterials - Plastic - 230g,230,,
SMW3D - Plastic - 254g,254,,
Snapmaker - Cardboard - 148g,148,,
Sovol - Cardboard - 145g,145,,
Spectrum - Cardboard - 180g,180,,
Spectrum - Plastic (Clear) - 257g,257,,
Spectrum 250g - Plastic (Clear) - 120g,120,,
Spectrum 2kg - Cardboard - 420g,420,,
Spectrum 2kg - Plastic (Clear) - 594g,594,,
Spectrum 4.5kg - Plastic (Black) - 780g,780,,
Spectrum 500g - Plastic (Clear) - 240g,240,,
Spectrum 8kg - Plastic (Black) - 1020g,1020,,
StrongHero 3D - Plastic - 121g,121,StrongHero 3D - Plastic - 154g,154
Stronghero 3D PLA - 154g,154,,
Stronghold - Plastic - 205g,205,,
Sunlu - Plastic - 117g,117,Sunlu - Plastic - 150g,150
Sunlu - Plastic (2.0 Version) - 165g,165,Sunlu - Plastic (2.0 Version) - 202g,202
Sunlu 250g - Plastic - 55g,55,,
Sunlu - Plastic - 124g,124,,
The Filament (Spectrum) - Plastic - 208g,208,,
TM Filament - Plastic (Clear) - 260g,260,,
TTYT3D - Cardboard - 121g,121,,
TTYT3D - Plastic - 190g,190,,
UltiMaker - Plastic - 235g,235,,
UltiMaker 750g - Plastic - 229g,229,,
Ultimaker PLA - 229g,229,,
Voolt3D - Plastic - 190g,190,,
Voxelab - Plastic - 171g,171,,
Wanhao - Plastic - 267g,267,,
Wanhao Plastic - 272g,272,,
Yuaneang - Plastic - 202g,202,,
Ziro - Plastic - 166g,166,Ziro - Plastic - 226g,226
ZYLtech - Plastic - 179g,179,,
ZYLtech - Plastic (5-Spoke) - 94g,94,,
